(Intercept),gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,personal_income,relative_income,gdp,growth
3.195716142189678,-0.026499844404889696,-0.01143112195768914,1.2431906576202157e-4,0.09134298916208367,0.0034951016917867165,0.0323770824409567,0.08805136587120926,-9.131372203877289e-4,-0.3760297292714212,-0.024320113622339407
-0.026499844404889627,0.003000316917100704,3.092363804297619e-4,-5.276439864601044e-6,8.01389982362458e-4,0.003451619034750617,0.003094130670465307,-0.0034146374455457664,3.5519681809123316e-5,0.004785943773672245,0.0016591844786091152
-0.011431121957689404,3.092363804297638e-4,8.448733938624555e-5,-1.0064185012424374e-6,-3.8893383097084633e-4,2.1597888930814226e-4,-9.50315705015093e-5,-4.1551671572139973e-4,9.571733661928712e-7,0.001331647459337135,2.4031483282313962e-4
1.243190657620237e-4,-5.276439864601063e-6,-1.0064185012424474e-6,1.4304243751718275e-8,3.1241336840873266e-6,-4.7598599722466806e-6,-1.3614090264445592e-6,7.32130656255286e-6,-7.511748749582538e-8,-1.636093502864303e-5,-3.420502957110824e-6
0.09134298916208523,8.013899823624493e-4,-3.889338309708643e-4,3.124133684087467e-6,0.00701356198273059,0.005338897507418189,0.005195029261754121,0.0028359463648562257,-8.347779880794202e-5,-0.009718892271391482,-0.001112205368067194
0.003495101691787815,0.0034516190347506043,2.159788893081318e-4,-4.759859972246626e-6,0.005338897507418154,0.010146617051948916,0.005527915888936376,-7.254092062508093e-4,-5.710593033599753e-5,8.239599490782323e-4,0.001099065373771827
0.032377082440957085,0.0030941306704653023,-9.503157050150913e-5,-1.3614090264445838e-6,0.005195029261754099,0.005527915888936367,0.007447494437473313,-0.0024060154945437597,1.9940605191026882e-5,-0.001116670036398118,9.562455354227505e-4
0.08805136587120897,-0.0034146374455457686,-4.1551671572140017e-4,7.321306562552887e-6,0.0028359463648562296,-7.254092062508104e-4,-0.0024060154945437433,0.01096293907765169,-2.79663216376427e-4,-0.01510660313339704,-0.0028666479076155413
-9.13137220387729e-4,3.551968180912342e-5,9.57173366192945e-7,-7.511748749582654e-8,-8.347779880794221e-5,-5.710593033599765e-5,1.994060519102645e-5,-2.7966321637642636e-4,1.0194740547051447e-5,2.3483165712318723e-4,5.8720354495220925e-5
-0.3760297292714246,0.0047859437736722495,0.0013316474593371213,-1.6360935028642968e-5,-0.009718892271391414,8.239599490782865e-4,-0.0011166700363980907,-0.01510660313339709,2.3483165712318954e-4,0.047651811318336644,0.0035471893843410235
-0.024320113622341193,0.0016591844786091145,2.4031483282314038e-4,-3.4205029571108484e-6,-0.0011122053680671918,0.0010990653737718156,9.562455354227493e-4,-0.0028666479076155586,5.872035449522154e-5,0.0035471893843410946,0.0019035132376351409
