estimate,se,z,p
1.9180982136078875,0.04066889118197988,47.16376960033236,0
0.08292998813331331,0.0341919713026679,2.425422839742572,0.0152905657693761
-0.01060013564851836,0.031942559081200486,-0.33184991914930756,0.7400025880767411
-0.06217287642340592,0.03286534339057225,-1.8917458334313593,0.05852485342187058
-0.06574843027443236,0.03232997390540173,-2.033667904181235,0.0419850903101353
-0.09020219683184927,0.03198457720022708,-2.820177870952406,0.004799703644572338
-0.06310311467782796,0.03217070889269327,-1.961508367388204,0.04981974988527045
-0.04998447218216987,0.0319831563788625,-1.5628373757133096,0.11809085056904503
-0.08652943530494707,0.031789001342953586,-2.7219928795947332,0.006488954058152822
-0.056068648692873035,0.03194552266428582,-1.7551332398626298,0.07923651984633201
-0.04349275138626939,0.032299832214044345,-1.3465318054301914,0.17813107022931077
0.05217232244385906,0.034053803640594835,1.5320556550594986,0.12550870140784964
-0.015039119379494923,0.03310962032476234,-0.454222042777317,0.64966901924259
0.015288732234279474,0.032733373781096975,0.4670686357147971,0.6404507730578339
0.0658268545832256,0.003719357534108627,17.698447643055513,4.310251843761258e-70
-0.0540883674385195,6.253667505462294e-4,-86.49063512135203,0
5.936915732930958e-4,6.584070262513676e-6,90.17090486917668,0
-0.06759295781874237,0.00512001208133625,-13.201718422723248,8.575617948385994e-40
-0.1895081749850155,0.00854148621095985,-22.18679165481197,4.607122234591998e-109
-0.21358911538135694,0.009242684110760516,-23.108992238812128,3.7599391524983835e-118
-0.006812904133065865,0.00733242538147953,-0.9291474210258056,0.35281269171067137
0.14224082971203408,0.0044676040231937915,31.838280423597,1.9124701645076112e-222
0.1107156521819221,0.02707538208353871,4.089163057434193,4.329324485871569e-5
0.03162179185157852,0.007453527690595069,4.242526916681237,2.2101702311063805e-5
